phv_id	PhenX_id	CDE_primary_name
phv00003689.v1.p9	PX090601040000	Intravascular diastolic
phv00004092.v1.p9	PX090601040000	Intravascular diastolic
phv00004534.v1.p9	PX090601040000	Intravascular diastolic
phv00004547.v1.p9	PX090601040000	Intravascular diastolic
phv00005139.v1.p9	PX090601040000	Intravascular diastolic
phv00005767.v1.p9	PX090601040000	Intravascular diastolic
phv00005935.v1.p9	PX090601040000	Intravascular diastolic
phv00006042.v1.p9	PX090601040000	Intravascular diastolic
phv00006251.v1.p9	PX090601040000	Intravascular diastolic
phv00006513.v1.p9	PX090601040000	Intravascular diastolic
phv00006681.v1.p9	PX090601040000	Intravascular diastolic
phv00006922.v1.p9	PX090601040000	Intravascular diastolic
phv00007111.v1.p9	PX090601040000	Intravascular diastolic
phv00007573.v5.p9	PX090601040000	Intravascular diastolic
phv00007575.v5.p9	PX090601040000	Intravascular diastolic
phv00007684.v5.p9	PX090601040000	Intravascular diastolic
phv00007686.v5.p9	PX090601040000	Intravascular diastolic
phv00008540.v5.p9	PX090601040000	Intravascular diastolic
phv00008712.v5.p9	PX090601040000	Intravascular diastolic
phv00008757.v5.p9	PX090601040000	Intravascular diastolic
phv00008771.v5.p9	PX090601040000	Intravascular diastolic
phv00009396.v5.p9	PX090601040000	Intravascular diastolic
phv00009559.v5.p9	PX090601040000	Intravascular diastolic
phv00009906.v5.p9	PX090601040000	Intravascular diastolic
phv00010123.v5.p9	PX090601040000	Intravascular diastolic
phv00010361.v5.p9	PX090601040000	Intravascular diastolic
phv00010508.v5.p9	PX090601040000	Intravascular diastolic
phv00021093.v4.p9	PX090601040000	Intravascular diastolic
phv00021240.v4.p9	PX090601040000	Intravascular diastolic
phv00024457.v5.p9	PX090601040000	Intravascular diastolic
phv00066713.v4.p9	PX090601040000	Intravascular diastolic
phv00070376.v1.p9	PX090601040000	Intravascular diastolic
phv00070558.v1.p9	PX090601040000	Intravascular diastolic
phv00072139.v4.p9	PX090601040000	Intravascular diastolic
phv00072660.v4.p9	PX090601040000	Intravascular diastolic
phv00177354.v1.p9	PX090601040000	Intravascular diastolic
phv00019998.v1.p1	PX090601040000	Intravascular diastolic
phv00025678.v1.p1	PX090601040000	Intravascular diastolic
phv00026021.v1.p1	PX090601040000	Intravascular diastolic
phv00027104.v1.p1	PX090601040000	Intravascular diastolic
phv00027426.v1.p1	PX090601040000	Intravascular diastolic
phv00027442.v1.p1	PX090601040000	Intravascular diastolic
phv00027458.v1.p1	PX090601040000	Intravascular diastolic
phv00027474.v1.p1	PX090601040000	Intravascular diastolic
phv00027490.v1.p1	PX090601040000	Intravascular diastolic
phv00027506.v1.p1	PX090601040000	Intravascular diastolic
phv00027522.v1.p1	PX090601040000	Intravascular diastolic
phv00027538.v1.p1	PX090601040000	Intravascular diastolic
phv00027554.v1.p1	PX090601040000	Intravascular diastolic
phv00027570.v1.p1	PX090601040000	Intravascular diastolic
phv00028934.v1.p1	PX090601040000	Intravascular diastolic
phv00029732.v1.p1	PX090601040000	Intravascular diastolic
phv00030234.v1.p1	PX090601040000	Intravascular diastolic
phv00030235.v1.p1	PX090601040000	Intravascular diastolic
phv00030236.v1.p1	PX090601040000	Intravascular diastolic
phv00030237.v1.p1	PX090601040000	Intravascular diastolic
phv00030238.v1.p1	PX090601040000	Intravascular diastolic
phv00030239.v1.p1	PX090601040000	Intravascular diastolic
phv00030240.v1.p1	PX090601040000	Intravascular diastolic
phv00030241.v1.p1	PX090601040000	Intravascular diastolic
phv00030691.v1.p1	PX090601040000	Intravascular diastolic
phv00030765.v1.p1	PX090601040000	Intravascular diastolic
